STATION_ID,STATION_NAME,ADA,RED,BLUE,GREEN,BROWN,PURPLE,PURPLE_EXP,YELLOW,PINK,ORANGE,LOCATION,LATITUDE,LONGITUDE,geometry
41020,Logan Square (Blue Line),True,False,True,False,False,False,False,False,False,False,"(41.929728, -87.708541)",41.929728,-87.708541,POINT (-87.708541 41.929728)
41030,Polk (Pink Line),True,False,False,False,False,False,False,False,True,False,"(41.871551, -87.66953)",41.871551,-87.66953,POINT (-87.66953 41.871551)
41040,Kedzie (Pink Line),True,False,False,False,False,False,False,False,True,False,"(41.853964, -87.705408)",41.853964,-87.705408,POINT (-87.705408 41.853964)
41050,Linden (Purple Line),True,False,False,False,False,True,True,False,False,False,"(42.073153, -87.69073)",42.073153,-87.69073,POINT (-87.69073 42.073153)
41060,Ashland (Orange Line),True,False,False,False,False,False,False,False,False,True,"(41.839234, -87.665317)",41.839234,-87.665317,POINT (-87.665317 41.839234)
41070,Kedzie (Green Line),True,False,False,True,False,False,False,False,False,False,"(41.884321, -87.706155)",41.884321,-87.706155,POINT (-87.706155 41.884321)
41080,47th (Green Line),True,False,False,True,False,False,False,False,False,False,"(41.809209, -87.618826)",41.809209,-87.618826,POINT (-87.618826 41.809209)
41090,Monroe (Red Line),False,True,False,False,False,False,False,False,False,False,"(41.880745, -87.627696)",41.880745,-87.627696,POINT (-87.627696 41.880745)
41120,35th-Bronzeville-IIT (Green Line),True,False,False,True,False,False,False,False,False,False,"(41.831677, -87.625826)",41.831677,-87.625826,POINT (-87.625826 41.831677)
41130,Halsted (Orange Line),True,False,False,False,False,False,False,False,False,True,"(41.84678, -87.648088)",41.84678,-87.648088,POINT (-87.648088 41.84678)
41140,King Drive (Green Line),True,False,False,True,False,False,False,False,False,False,"(41.78013, -87.615546)",41.78013,-87.615546,POINT (-87.615546 41.78013)
41150,Kedzie (Orange Line),True,False,False,False,False,False,False,False,False,True,"(41.804236, -87.704406)",41.804236,-87.704406,POINT (-87.704406 41.804236)
41160,Clinton (Green & Pink lines),True,False,False,True,False,False,False,False,True,False,"(41.885678, -87.641782)",41.885678,-87.641782,POINT (-87.641782 41.885678)
41170,Garfield (Red Line),True,True,False,False,False,False,False,False,False,False,"(41.79542, -87.631157)",41.79542,-87.631157,POINT (-87.631157 41.79542)
41180,Kedzie (Brown Line),True,False,False,False,True,False,False,False,False,False,"(41.965996, -87.708821)",41.965996,-87.708821,POINT (-87.708821 41.965996)
41190,Jarvis (Red Line),False,True,False,False,False,False,False,False,False,False,"(42.015876, -87.669092)",42.015876,-87.669092,POINT (-87.669092 42.015876)
41200,Argyle (Red Line),False,True,False,False,False,False,False,False,False,False,"(41.973453, -87.65853)",41.973453,-87.65853,POINT (-87.65853 41.973453)
41210,Wellington (Brown & Purple lines),True,False,False,False,True,False,True,False,False,False,"(41.936033, -87.653266)",41.936033,-87.653266,POINT (-87.653266 41.936033)
